Designator,Mid X,Mid Y,Rotation,Layer
C1,57.5,-27.75,0.0,top
C10,122.0,-27.75,0.0,top
C11,148.0,-27.75,0.0,top
C12,174.0,-27.75,0.0,top
C2,83.5,-27.75,0.0,top
C3,109.5,-27.75,0.0,top
C4,135.5,-27.75,0.0,top
C5,161.5,-27.75,0.0,top
C6,36.5,-28.25,180.0,top
C7,36.5,-25.5,180.0,top
C8,70.0,-27.75,0.0,top
C9,96.0,-27.75,0.0,top
J2,43.835,-38.0,90.0,top
R1,63.705,-38.0,0.0,top
R2,89.68,-38.0,0.0,top
R3,115.68,-38.0,0.0,top
R4,141.68,-38.0,0.0,top
R5,167.68,-38.0,0.0,top
R6,36.5,-22.75,180.0,top
RV1,45.54,-25.75,0.0,top
